thread_id,doc_id,fecha,familia
H0001,15126,2025-01-09,7
H0001,1565,2025-01-10,27
H0001,1594,2025-01-10,7
H0001,15131,2025-01-10,7
H0001,1590,2025-02-10,27
H0001,17282,2025-02-17,7
H0001,7181,2025-02-18,11
H0001,7186,2025-02-18,7
H0001,7189,2025-02-18,7
H0001,7215,2025-02-18,7
H0001,15127,2025-02-18,7
H0001,17268,2025-02-18,7
H0001,17275,2025-03-25,7
H0001,1679,2025-05-07,5
H0001,19050,2025-05-17,7
H0001,1676,2025-05-20,5
H0001,1677,2025-05-20,7
H0001,1685,2025-05-27,5
H0001,7170,2025-05-30,5
H0001,1570,2025-06-03,13
H0001,7137,2025-06-12,7
H0001,7190,2025-06-12,10
H0001,16790,2025-06-12,7
H0001,7172,2025-06-13,11
H0001,17588,2025-06-13,16
H0001,6833,2025-06-16,13
H0001,6829,2025-06-21,7
H0001,1701,2025-07-29,5
H0001,1683,2025-07-31,5
H0001,1554,2025-08-14,27
H0001,1684,2025-08-14,7
H0001,15120,2025-08-15,7
H0001,1557,2025-08-27,13
H0001,1687,2025-08-28,5
H0001,1652,2025-09-17,7
H0001,7197,2025-09-17,7
H0001,19044,2025-09-17,7
H0001,19043,2025-09-22,7
H0001,19052,2025-12-03,7
H0002,6732,2019-10-14,3
H0002,6720,2019-10-16,3
H0002,7227,2019-10-22,3
H0002,2250,2022-02-23,1
H0002,3134,2022-05-26,4
H0002,6830,2022-06-08,3
H0002,6832,2022-06-09,3
H0002,3214,2022-06-13,3
H0002,2938,2022-06-15,4
H0002,3081,2022-06-15,3
H0002,22328,2022-06-17,3
H0002,22337,2022-06-17,3
H0002,3207,2022-06-17,3
H0002,3250,2022-06-17,3
H0002,3266,2022-06-17,3
H0002,3275,2022-06-17,3
H0002,6736,2022-06-17,3
H0002,6737,2022-06-17,3
H0002,6740,2022-06-17,3
H0002,6742,2022-06-17,3
H0002,19502,2022-06-18,3
H0002,22315,2022-06-18,3
H0002,22334,2022-06-18,3
H0002,22356,2022-06-18,3
H0002,2953,2022-06-18,3
H0002,3232,2022-06-18,3
H0002,3245,2022-06-18,3
H0002,3255,2022-06-18,3
H0002,3279,2022-06-18,3
H0002,10049,2022-06-19,4
H0002,22321,2022-06-19,3
H0002,22348,2022-06-19,3
H0002,22360,2022-06-19,3
H0002,3274,2022-06-19,3
H0002,10169,2022-06-20,0
H0002,22309,2022-06-20,3
H0002,22311,2022-06-20,3
H0002,22318,2022-06-20,3
H0002,22344,2022-06-20,3
H0002,3197,2022-06-20,3
H0002,3248,2022-06-20,3
H0002,3271,2022-06-20,3
H0002,3281,2022-06-20,3
H0002,6727,2022-06-20,3
H0002,7224,2022-06-20,3
H0002,639,2022-06-21,3
H0002,22320,2022-06-21,3
H0002,2966,2022-06-21,3
H0002,3256,2022-06-21,3
H0002,6743,2022-06-21,3
H0002,616,2022-06-22,3
H0002,10008,2022-06-22,12
H0002,22319,2022-06-22,3
H0002,3233,2022-06-22,3
H0002,3257,2022-06-22,3
H0002,6722,2022-06-22,3
H0002,18429,2022-06-23,3
H0002,22339,2022-06-23,3
H0002,3254,2022-06-23,3
H0002,6739,2022-06-23,3
H0002,607,2022-06-24,3
H0002,3235,2022-06-24,3
H0002,3219,2022-06-25,3
H0002,6719,2022-06-25,3
H0002,22353,2022-06-26,3
H0002,22359,2022-06-26,3
H0002,3224,2022-06-27,3
H0002,3227,2022-06-27,3
H0002,2957,2022-06-28,3
H0002,22341,2022-06-29,3
H0002,565,2022-06-30,1
H0002,22346,2022-06-30,3
H0002,3277,2022-06-30,3
H0002,6721,2022-06-30,3
H0002,3249,2022-07-02,3
H0002,3230,2022-07-03,3
H0002,3223,2022-07-05,3
H0002,3272,2022-07-05,3
H0002,6715,2022-07-12,3
H0002,6723,2022-07-16,3
H0002,22266,2022-08-01,3
H0002,7232,2022-08-04,3
H0002,3259,2022-08-09,3
H0002,7234,2022-08-09,3
H0002,3282,2022-08-10,3
H0002,3280,2022-08-19,3
H0002,3242,2022-10-18,3
H0002,603,2022-10-19,3
H0002,7233,2022-11-30,3
H0002,3243,2022-12-01,3
H0002,6725,2022-12-12,3
H0002,592,2022-12-29,3
H0002,6738,2023-01-11,3
H0002,3263,2023-01-23,3
H0002,3234,2023-03-06,3
H0002,3283,2023-03-07,3
H0002,3273,2023-03-08,3
H0002,3216,2023-03-15,3
H0002,3195,2023-04-13,3
H0002,3225,2023-04-20,3
H0002,3236,2023-04-20,3
H0002,7237,2023-04-20,3
H0002,3260,2023-05-18,3
H0002,3247,2023-05-21,3
H0002,3244,2023-05-30,3
H0002,597,2023-05-31,3
H0002,3199,2023-05-31,3
H0002,3203,2023-05-31,3
H0002,3210,2023-05-31,3
H0002,3221,2023-05-31,3
H0002,3253,2023-05-31,3
H0002,3265,2023-05-31,3
H0002,3278,2023-05-31,3
H0002,6724,2023-05-31,3
H0002,6746,2023-05-31,3
H0002,7235,2023-05-31,3
H0002,2932,2023-06-01,3
H0002,3284,2023-06-01,3
H0002,2951,2023-06-02,4
H0002,2976,2023-06-02,3
H0002,3246,2023-06-03,3
H0002,3252,2023-06-06,3
H0002,2906,2023-06-10,1
H0002,588,2023-06-22,3
H0002,7229,2023-07-17,3
H0002,2246,2023-08-26,1
H0002,2259,2023-08-26,4
H0002,6735,2023-09-25,3
H0002,3218,2023-09-29,3
H0002,3241,2023-10-03,3
H0002,3268,2023-10-03,3
H0002,3229,2023-11-04,3
H0002,3211,2024-05-09,3
H0002,3212,2024-05-09,3
H0002,6749,2024-05-14,3
H0002,3240,2024-05-31,3
H0002,3231,2024-07-25,3
H0002,3239,2024-07-25,3
H0002,3262,2024-07-25,3
H0002,3465,2024-07-28,3
H0002,3435,2024-08-01,3
H0002,7236,2024-09-02,3
H0002,3237,2024-10-10,3
H0002,3258,2025-01-30,3
H0002,7238,2025-02-03,3
H0002,3213,2025-02-15,3
H0002,3193,2025-09-24,3
H0002,3194,2025-12-17,3
H0003,5720,2022-10-09,6
H0003,16188,2023-08-08,2
H0003,5718,2023-10-06,2
H0003,5716,2023-10-09,2
H0003,5711,2023-10-11,2
H0003,5708,2023-12-14,6
H0003,5712,2023-12-15,6
H0003,5690,2023-12-31,2
H0003,5714,2024-02-23,2
H0003,4280,2024-02-28,2
H0003,5710,2024-04-01,6
H0003,5567,2024-07-24,2
H0003,5559,2024-07-25,2
H0003,5707,2024-07-25,2
H0003,5565,2024-07-29,2
H0003,5664,2024-07-29,2
H0003,4253,2024-07-30,2
H0003,5564,2024-07-31,2
H0003,5590,2024-07-31,2
H0003,16036,2024-08-01,6
H0003,5570,2024-08-02,2
H0003,5572,2024-09-23,2
H0003,5686,2024-09-24,-1
H0003,5684,2024-10-04,2
H0003,5895,2024-10-13,2
H0003,4341,2024-10-18,2
H0003,5333,2024-10-30,2
H0003,5337,2024-11-29,2
H0003,5672,2024-12-12,2
H0003,906,2025-02-07,2
H0003,5848,2025-02-17,2
H0003,5294,2025-02-19,2
H0003,4420,2025-04-15,2
H0003,5273,2025-04-21,2
H0003,5484,2025-04-24,2
H0003,5288,2025-04-28,2
H0003,391,2025-05-05,2
H0003,5270,2025-05-05,2
H0003,5272,2025-05-05,2
H0003,5289,2025-05-05,2
H0003,5645,2025-05-05,2
H0003,5275,2025-05-06,2
H0003,5421,2025-05-06,2
H0003,5632,2025-05-06,2
H0003,5647,2025-05-06,2
H0003,5887,2025-05-06,2
H0003,5271,2025-05-07,2
H0003,5278,2025-05-08,2
H0003,5555,2025-05-08,2
