thread_id,doc_id,fecha,familia
H0000,15130,2025-01-04,27
H0000,1572,2025-01-07,13
H0000,1559,2025-01-08,13
H0000,1586,2025-01-08,13
H0000,1662,2025-01-08,5
H0000,16794,2025-01-08,7
H0000,16796,2025-01-08,22
H0000,1563,2025-01-09,25
H0000,1713,2025-01-09,5
H0000,1719,2025-01-09,7
H0000,7185,2025-01-09,27
H0000,15126,2025-01-09,7
H0000,1576,2025-01-09,13
H0000,1565,2025-01-10,27
H0000,1594,2025-01-10,7
H0000,15131,2025-01-10,7
H0000,5500,2025-01-11,26
H0000,1211,2025-01-14,11
H0000,1558,2025-01-14,13
H0000,19968,2025-01-18,26
H0000,1742,2025-01-20,7
H0000,1279,2025-01-28,5
H0000,1496,2025-01-31,14
H0000,1590,2025-02-10,27
H0000,1437,2025-02-14,11
H0000,7196,2025-02-17,7
H0000,17282,2025-02-17,7
H0000,7181,2025-02-18,11
H0000,7186,2025-02-18,7
H0000,7189,2025-02-18,7
H0000,7215,2025-02-18,7
H0000,15127,2025-02-18,7
H0000,17268,2025-02-18,7
H0000,2771,2025-02-19,27
H0000,2772,2025-02-19,5
H0000,2798,2025-02-19,14
H0000,2799,2025-02-19,27
H0000,1950,2025-02-20,5
H0000,2773,2025-02-20,27
H0000,2774,2025-02-20,14
H0000,2802,2025-02-20,14
H0000,23163,2025-02-23,26
H0000,5315,2025-02-24,26
H0000,7615,2025-02-25,-1
H0000,1833,2025-03-06,11
H0000,5477,2025-03-06,26
H0000,1478,2025-03-09,11
H0000,5557,2025-03-18,26
H0000,17275,2025-03-25,7
H0000,1173,2025-03-25,11
H0000,1060,2025-03-26,25
H0000,1276,2025-03-26,25
H0000,1474,2025-04-02,14
H0000,17227,2025-04-03,6
H0000,7327,2025-04-07,10
H0000,2179,2025-04-11,25
H0000,1830,2025-04-17,5
H0000,18023,2025-04-22,25
H0000,1711,2025-04-24,5
H0000,1724,2025-04-24,5
H0000,7623,2025-04-28,-1
H0000,2090,2025-05-04,5
H0000,16717,2025-05-06,24
H0000,17191,2025-05-06,24
H0000,1679,2025-05-07,5
H0000,4340,2025-05-14,0
H0000,19050,2025-05-17,7
H0000,1676,2025-05-20,5
H0000,1677,2025-05-20,7
H0000,1858,2025-05-20,5
H0000,2100,2025-05-20,11
H0000,1685,2025-05-27,5
H0000,1176,2025-05-29,13
H0000,7608,2025-05-29,-1
H0000,7170,2025-05-30,5
H0000,1570,2025-06-03,13
H0000,1473,2025-06-04,-1
H0000,7147,2025-06-11,10
H0000,7137,2025-06-12,7
H0000,7190,2025-06-12,10
H0000,16790,2025-06-12,7
H0000,1536,2025-06-12,13
H0000,4324,2025-06-12,27
H0000,7172,2025-06-13,11
H0000,17588,2025-06-13,16
H0000,6833,2025-06-16,13
H0000,2776,2025-06-16,1
H0000,4554,2025-06-17,24
H0000,4019,2025-06-18,24
H0000,1155,2025-06-18,-1
H0000,1463,2025-06-19,14
H0000,4228,2025-06-19,24
H0000,4561,2025-06-19,24
H0000,4571,2025-06-19,24
H0000,4573,2025-06-19,24
H0000,6829,2025-06-21,7
H0000,4422,2025-06-23,24
H0000,4319,2025-06-24,6
H0000,4566,2025-06-24,24
H0000,4224,2025-06-25,24
H0000,3984,2025-06-29,24
H0000,4325,2025-06-29,24
H0000,105,2025-06-30,5
H0000,1869,2025-06-30,5
H0000,1895,2025-06-30,5
H0000,5476,2025-06-30,2
H0000,1873,2025-07-01,5
H0000,1899,2025-07-01,5
H0000,4556,2025-07-01,24
H0000,4322,2025-07-03,24
H0000,1383,2025-07-05,25
H0000,3407,2025-07-09,12
H0000,1174,2025-07-14,11
H0000,1906,2025-07-15,13
H0000,307,2025-07-16,13
H0000,8521,2025-07-16,18
H0000,1239,2025-07-16,13
H0000,1691,2025-07-16,13
H0000,1534,2025-07-17,13
H0000,1535,2025-07-17,13
H0000,1893,2025-07-17,5
H0000,2069,2025-07-18,5
H0000,4564,2025-07-23,27
H0000,7569,2025-07-23,-1
H0000,73,2025-07-25,11
H0000,1599,2025-07-25,25
H0000,1079,2025-07-26,25
H0000,1407,2025-07-27,25
H0000,1600,2025-07-28,25
H0000,1701,2025-07-29,5
H0000,305,2025-07-31,13
H0000,1683,2025-07-31,5
H0000,1259,2025-07-31,11
H0000,1168,2025-08-01,25
H0000,1260,2025-08-01,13
H0000,1678,2025-08-01,11
H0000,2163,2025-08-03,25
H0000,2919,2025-08-06,23
H0000,1238,2025-08-07,26
H0000,1471,2025-08-08,14
H0000,11055,2025-08-10,25
H0000,6251,2025-08-13,0
H0000,1167,2025-08-13,5
H0000,1531,2025-08-13,25
H0000,1554,2025-08-14,27
H0000,1684,2025-08-14,7
H0000,15120,2025-08-15,7
H0000,8095,2025-08-18,25
H0000,17267,2025-08-18,0
H0000,1159,2025-08-20,11
H0000,1386,2025-08-21,14
H0000,1557,2025-08-27,13
H0000,1687,2025-08-28,5
H0000,1671,2025-09-01,5
H0000,1892,2025-09-01,5
H0000,1148,2025-09-05,-1
H0000,2173,2025-09-05,-1
H0000,6810,2025-09-11,22
H0000,455,2025-09-12,1
H0000,1237,2025-09-13,13
H0000,1169,2025-09-14,13
H0000,2094,2025-09-14,13
H0000,1177,2025-09-15,13
H0000,2199,2025-09-15,13
