doc_i,doc_j,dias,s_ref,s_emb,w
597,3277,335,0.4138,0.8763,0.5526
597,3279,347,0.4138,0.8932,0.5576
597,3281,345,0.4138,0.8474,0.5439
597,3282,294,0.4138,0.7968,0.5287
597,3283,85,0.4138,0.7842,0.5249
597,3284,1,0.4138,0.8841,0.5549
597,6723,319,0.4138,0.8375,0.5409
597,6727,345,0.4138,0.8777,0.553
597,6735,117,0.4138,0.8753,0.5523
597,6736,348,0.4138,0.8987,0.5593
597,6737,348,0.4138,0.9033,0.5607
597,6739,342,0.4138,0.8982,0.5591
597,6742,348,0.4138,0.8622,0.5483
597,6743,344,0.4138,0.9192,0.5654
597,7224,345,0.4138,0.8475,0.5439
597,7229,47,0.4138,0.8611,0.548
597,7232,300,0.4138,0.9119,0.5632
597,7233,182,0.4138,0.824,0.5369
597,7234,295,0.4138,0.8123,0.5334
597,7237,41,0.4138,0.843,0.5426
603,22321,122,0.2847,0.8745,0.4617
607,19502,6,0.4479,0.7996,0.5534
607,22318,4,0.4479,0.8259,0.5613
607,22353,2,0.4479,0.873,0.5754
607,3256,3,0.4479,0.8327,0.5633
607,6719,1,0.4479,0.831,0.5628
607,6721,6,0.2656,0.8874,0.4521
616,2906,353,0.5209,0.6985,0.5742
616,10169,2,0.4656,0.6427,0.5187
616,19502,4,0.4304,0.87,0.5623
616,22266,40,0.5209,0.8281,0.6131
616,22309,2,0.5209,0.8903,0.6317
616,22311,2,0.5209,0.9167,0.6396
616,22315,4,0.4304,0.9235,0.5783
616,22318,2,0.2656,0.9284,0.4644
616,22320,1,0.4304,0.9016,0.5718
616,22321,3,0.4304,0.9306,0.5805
616,22339,1,0.3727,0.806,0.5027
616,22344,2,0.6138,0.8911,0.697
616,22353,4,0.3727,0.8905,0.528
616,22359,4,0.4138,0.9082,0.5621
616,22360,3,0.5209,0.9482,0.6491
616,2932,344,0.4138,0.8556,0.5464
616,2957,6,0.4138,0.788,0.5261
616,2976,345,0.2656,0.8818,0.4505
616,3197,2,0.5209,0.8185,0.6102
616,3199,343,0.5209,0.8636,0.6237
616,3203,343,0.5209,0.8366,0.6156
616,3207,5,0.4138,0.8964,0.5586
616,3210,343,0.4138,0.7155,0.5043
616,3211,687,0.5209,0.834,0.6148
616,3219,3,0.6138,0.8239,0.6768
616,3221,343,0.4138,0.7538,0.5158
616,3225,302,0.4138,0.8342,0.5399
616,3227,5,0.4138,0.9009,0.56
616,3229,500,0.5209,0.8365,0.6156
616,3230,11,0.4138,0.8871,0.5558
616,3232,4,0.5209,0.8681,0.625
616,3234,257,0.4138,0.8757,0.5524
616,3236,302,0.4138,0.8077,0.532
616,3240,709,0.5209,0.8744,0.6269
616,3241,468,0.5209,0.8234,0.6116
616,3242,118,0.4138,0.7936,0.5278
616,3244,342,0.4138,0.872,0.5513
616,3245,4,0.5209,0.8794,0.6284
616,3246,346,0.5209,0.861,0.6229
616,3247,333,0.4138,0.8264,0.5376
616,3248,2,0.4138,0.8477,0.544
616,3249,10,0.313,0.8901,0.4861
616,3250,5,0.4138,0.902,0.5603
616,3253,343,0.4138,0.8889,0.5563
616,3255,4,0.5786,0.9178,0.6804
616,3259,48,0.4138,0.8114,0.5331
616,3260,330,0.5209,0.8785,0.6282
616,3262,764,0.5209,0.8558,0.6214
616,3265,343,0.3727,0.8456,0.5146
616,3266,5,0.6138,0.9141,0.7039
616,3271,2,0.4138,0.8042,0.5309
616,3272,13,0.4138,0.7976,0.529
616,3273,259,0.4138,0.767,0.5198
616,3274,3,0.4138,0.7606,0.5179
616,3275,5,0.5209,0.9272,0.6428
616,3277,8,0.5209,0.865,0.6241
616,3278,343,0.4138,0.8724,0.5514
616,3279,4,0.4138,0.8996,0.5595
616,3281,2,0.5209,0.8538,0.6208
616,3282,49,0.4138,0.8063,0.5316
616,3283,258,0.5209,0.7764,0.5976
616,3284,344,0.5209,0.8796,0.6285
616,6723,24,0.5209,0.8513,0.62
616,6724,343,0.5209,0.7502,0.5897
616,6727,2,0.5209,0.8783,0.6281
616,6732,982,0.5209,0.8825,0.6294
616,6735,460,0.5209,0.8587,0.6222
616,6736,5,0.5209,0.8608,0.6229
616,6737,5,0.5209,0.937,0.6457
616,6739,1,0.6138,0.8872,0.6958
616,6740,5,0.2656,0.8955,0.4546
616,6742,5,0.5209,0.8386,0.6162
616,6743,1,0.5786,0.9406,0.6872
616,6746,343,0.4138,0.8689,0.5503
616,7224,2,0.4138,0.8152,0.5342
616,7227,974,0.5209,0.8709,0.6259
616,7229,390,0.5209,0.8366,0.6156
616,7232,43,0.5209,0.9053,0.6362
616,7233,161,0.4138,0.8521,0.5453
616,7234,48,0.4138,0.8298,0.5386
616,7235,343,0.3727,0.8261,0.5087
616,7236,803,0.5209,0.8191,0.6103
616,7237,302,0.5209,0.8481,0.6191
630,18431,298,0.2993,0.8654,0.4691
630,18447,33,0.2993,0.8478,0.4638
630,19230,27,0.2993,0.8701,0.4705
631,11936,12,0.665,0.8576,0.7228
633,11894,1020,0.6645,0.6362,0.656
