doc_i,doc_j,w,s_ref,s_emb,dias,largo,grado_i,grado_j,triangulos,embeddedness,edge_betweenness,puente,articulacion_adyacente,ref_objeto,ref_territorio,ref_actor,idf_max_ref_compartido
301,5763,0.6285,0.672,0.5271,347,False,8,2,1,0.1429,0.011695,False,True,explotacion de litio en salar de maricunga,salar de maricunga,,1.0
301,1225,0.4841,0.3511,0.7944,197,False,8,8,5,0.5556,0.007281,False,True,,salar de maricunga,comunidad colla pai ote,0.8952
301,1275,0.4948,0.3511,0.8302,130,False,8,9,5,0.5,0.001044,False,True,,salar de maricunga,comunidad colla pai ote,0.8952
301,1277,0.4851,0.3511,0.7979,115,False,8,12,5,0.3846,0.001462,False,True,,salar de maricunga,comunidad colla pai ote,0.8952
301,1551,0.4915,0.3511,0.8192,18,False,8,6,5,0.7143,0.000209,False,True,,salar de maricunga,comunidad colla pai ote,0.8952
301,2206,0.489,0.3511,0.8109,53,False,8,22,5,0.2174,0.005385,False,True,,salar de maricunga,comunidad colla pai ote,0.8952
301,2209,0.4916,0.3511,0.8196,283,False,8,28,5,0.1724,0.019495,False,True,,salar de maricunga,comunidad colla pai ote,0.8952
305,1260,0.7438,0.6466,0.9705,1,False,5,6,4,0.8,8.4e-05,False,False,proyecto blanco,salar de maricunga,,0.9491
305,1277,0.6984,0.6466,0.8192,644,True,5,12,4,0.3636,0.011431,False,True,proyecto blanco,salar de maricunga,,0.9491
305,1279,0.6663,0.6466,0.7123,184,False,5,6,4,0.8,8.4e-05,False,False,proyecto blanco,salar de maricunga,,0.9491
305,1284,0.6744,0.6466,0.7393,427,True,5,6,4,0.8,8.4e-05,False,False,proyecto blanco,salar de maricunga,,0.9491
305,1339,0.7268,0.6466,0.9139,371,True,5,6,4,0.8,8.4e-05,False,False,proyecto blanco,salar de maricunga,,0.9491
306,5763,0.6943,0.7791,0.4965,464,True,2,2,1,1.0,7e-05,False,False,explotacion de litio en salar de maricunga,salar de maricunga,codelco,1.0
2848,8538,0.5961,0.6123,0.5582,577,True,4,4,3,1.0,7e-05,False,False,salar de atacama,salar de atacama,,1.0
2848,18028,0.6691,0.6123,0.8015,247,False,4,5,3,0.75,0.00543,False,False,salar de atacama,salar de atacama,,1.0
2848,1774,0.6712,0.6123,0.8085,574,True,4,9,3,0.375,0.000696,False,False,salar de atacama,salar de atacama,,1.0
2848,1946,0.6821,0.6123,0.8449,61,False,4,6,3,0.6,0.005569,False,True,salar de atacama,salar de atacama,,1.0
6380,1078,0.5383,0.5345,0.5471,636,True,12,12,10,0.8333,8.7e-05,False,False,salar futuro,salar de atacama,,0.8443
6380,1470,0.5487,0.5345,0.5817,722,True,12,15,10,0.6667,0.007285,False,False,salar futuro,salar de atacama,,0.8443
6380,1509,0.5505,0.5345,0.5878,25,False,12,12,10,0.8333,8.1e-05,False,False,salar futuro,salar de atacama,,0.8443
6380,1656,0.5594,0.5345,0.6174,641,True,12,12,10,0.8333,8.7e-05,False,False,salar futuro,salar de atacama,,0.8443
6380,1661,0.5591,0.5345,0.6166,635,True,12,12,10,0.8333,8.7e-05,False,False,salar futuro,salar de atacama,,0.8443
6380,1669,0.5519,0.5345,0.5925,634,True,12,12,9,0.6923,0.002016,False,False,salar futuro,salar de atacama,,0.8443
6380,1732,0.5534,0.5345,0.5976,25,False,12,12,10,0.8333,8.1e-05,False,False,salar futuro,salar de atacama,,0.8443
6380,1761,0.5363,0.5345,0.5405,469,True,12,6,4,0.3333,0.001614,False,False,salar futuro,salar de atacama,,0.8443
6380,1840,0.5363,0.5345,0.5406,747,True,12,12,10,0.8333,8.7e-05,False,False,salar futuro,salar de atacama,,0.8443
6380,1860,0.5556,0.5345,0.6048,634,True,12,13,9,0.6429,0.002373,False,False,salar futuro,salar de atacama,,0.8443
6380,1917,0.6626,0.656,0.678,1,False,12,12,10,0.8333,0.000125,False,False,salar futuro,salar de atacama,consejo de pueblos atacamenos,0.8443
6380,1923,0.6663,0.656,0.6902,1,False,12,13,10,0.7692,0.001042,False,False,salar futuro,salar de atacama,consejo de pueblos atacamenos,0.8443
6384,1937,0.4806,0.3123,0.8731,3,False,2,1,0,0.0,0.011765,True,True,,salar de atacama,consejo de pueblos atacamenos;sqm,0.7291
6384,1946,0.4894,0.3123,0.9025,3,False,2,6,0,0.0,0.02339,True,True,,salar de atacama,consejo de pueblos atacamenos;sqm,0.7291
6416,970,0.5018,0.4571,0.6062,56,False,11,21,9,0.4286,0.001127,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,978,0.5114,0.4571,0.6382,55,False,11,19,8,0.4,0.000798,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,983,0.5099,0.4571,0.6332,52,False,11,21,10,0.5,0.000791,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,1205,0.4743,0.4571,0.5145,70,False,11,24,10,0.4348,0.004872,False,True,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,1244,0.5799,0.5889,0.559,1,False,11,14,7,0.4375,0.000364,False,False,estrategia nacional del litio,san pedro de atacama,,0.8443
6416,1928,0.5039,0.4571,0.6131,55,False,11,19,8,0.4,0.000798,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,1930,0.5045,0.4571,0.615,55,False,11,19,8,0.4,0.000798,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,1933,0.503,0.4571,0.6101,1,False,11,18,7,0.35,0.000805,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,1954,0.4972,0.4571,0.5909,1,False,11,18,7,0.35,0.000805,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
6416,1972,0.681,0.7104,0.6123,1,False,11,13,7,0.4667,0.000358,False,False,estrategia nacional del litio,san pedro de atacama,consejo de pueblos atacamenos,0.8443
8095,1211,0.728,0.672,0.8587,216,False,1,4,0,0.0,0.011765,True,True,produccion de sales maricunga,salar de maricunga,,1.0
8538,18028,0.5811,0.6123,0.5082,824,True,4,5,3,0.75,0.00543,False,False,salar de atacama,salar de atacama,,1.0
8538,1774,0.5841,0.6123,0.5182,3,False,4,9,3,0.375,0.000696,False,False,salar de atacama,salar de atacama,,1.0
8538,1946,0.5758,0.6123,0.4907,638,True,4,6,3,0.6,0.005569,False,True,salar de atacama,salar de atacama,,1.0
9084,1515,0.4766,0.3123,0.8598,89,False,7,8,1,0.0833,0.011641,False,False,,salar de atacama,comunidades atacamenas,1.0
9084,1871,0.6848,0.6123,0.8539,640,True,7,12,0,0.0,0.054299,False,False,alianza codelco-sqm,salar de atacama,,1.0
9084,1921,0.4546,0.2791,0.8641,57,False,7,4,3,0.5,0.009885,False,False,,salar de atacama,codelco y sqm,0.8339
9084,1925,0.4533,0.2791,0.8598,89,False,7,4,3,0.5,0.009885,False,False,,salar de atacama,codelco y sqm,0.8339
9084,1970,0.4521,0.2791,0.8556,66,False,7,5,3,0.4286,0.012269,False,False,,salar de atacama,codelco y sqm,0.8339
9084,1986,0.4759,0.3123,0.8575,190,False,7,2,1,0.1667,0.004411,False,False,,salar de atacama,comunidades atacamenas,1.0
16980,18028,0.483,0.3123,0.8812,121,False,7,5,0,0.0,0.025316,False,False,,salar de atacama,codelco;consejo de pueblos atacamenos,0.6076
16980,1130,0.6604,0.5679,0.8761,321,False,7,8,5,0.625,0.000627,False,False,explotacion de litio en el salar de atacama,salar de atacama,,0.9111
16980,1162,0.6632,0.5679,0.8854,690,True,7,6,5,0.8333,0.000232,False,False,explotacion de litio en el salar de atacama,salar de atacama,,0.9111
16980,1515,0.6554,0.5679,0.8597,204,False,7,8,5,0.625,0.002146,False,False,explotacion de litio en el salar de atacama,salar de atacama,,0.9111
16980,1874,0.6361,0.5679,0.7952,772,True,7,17,5,0.2941,0.020749,False,False,explotacion de litio en el salar de atacama,salar de atacama,,0.9111
16980,1888,0.6335,0.5679,0.7865,732,True,7,10,5,0.5,0.011911,False,False,explotacion de litio en el salar de atacama,salar de atacama,,0.9111
16980,2018,0.6748,0.5679,0.9243,162,False,7,6,5,0.8333,0.000232,False,False,explotacion de litio en el salar de atacama,salar de atacama,,0.9111
18021,1064,0.5036,0.3356,0.8957,256,False,16,28,14,0.5,0.00105,False,False,estrategia nacional del litio,,,0.6712
18021,1065,0.4803,0.3356,0.8179,321,False,16,21,12,0.5217,0.000471,False,False,estrategia nacional del litio,,,0.6712
18021,1152,0.5051,0.3356,0.9005,327,False,16,25,13,0.5,0.000917,False,True,estrategia nacional del litio,,,0.6712
18021,1157,0.504,0.3356,0.8969,272,False,16,26,15,0.6,0.000174,False,False,estrategia nacional del litio,,,0.6712
18021,1159,0.507,0.3356,0.9068,229,False,16,25,14,0.56,0.000475,False,False,estrategia nacional del litio,,,0.6712
18021,1173,0.4769,0.3356,0.8067,81,False,16,25,15,0.625,0.000139,False,False,estrategia nacional del litio,,,0.6712
18021,1218,0.5128,0.3356,0.9263,4,False,16,19,15,0.8333,8.5e-05,False,False,estrategia nacional del litio,,,0.6712
18021,1233,0.5063,0.3356,0.9045,348,False,16,25,13,0.5,0.001302,False,True,estrategia nacional del litio,,,0.6712
18021,1237,0.5019,0.3356,0.8899,253,False,16,29,14,0.4828,0.001129,False,False,estrategia nacional del litio,,,0.6712
18021,1653,0.4709,0.3356,0.7868,350,False,16,23,13,0.5417,0.000454,False,False,estrategia nacional del litio,,,0.6712
18021,1868,0.5543,0.4594,0.7756,354,False,16,27,12,0.4138,0.006386,False,False,estrategia nacional del litio,,gobierno de chile,0.6712
18021,1870,0.5643,0.4594,0.8091,356,False,16,23,12,0.48,0.000418,False,False,estrategia nacional del litio,,gobierno de chile,0.6712
18021,2163,0.468,0.3356,0.7769,212,False,16,24,14,0.5833,0.000343,False,False,estrategia nacional del litio,,,0.6712
18021,2209,0.4923,0.3356,0.858,267,False,16,28,4,0.1053,0.01229,False,False,estrategia nacional del litio,,,0.6712
18028,1774,0.6719,0.6123,0.811,821,True,5,9,3,0.3333,0.004502,False,False,salar de atacama,salar de atacama,,1.0
18028,1946,0.7816,0.7339,0.893,186,False,5,6,3,0.5,0.000348,False,True,salar de atacama,salar de atacama,consejo de pueblos atacamenos,1.0
970,978,0.6625,0.5694,0.8796,1,False,21,19,16,0.7273,0.000182,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,983,0.6675,0.5694,0.8963,4,False,21,21,18,0.8182,0.000175,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1088,0.5822,0.4479,0.8955,16,False,21,16,13,0.5909,0.000716,False,False,estrategia nacional del litio,salar de atacama,,0.6712
970,1205,0.6607,0.5694,0.8736,14,False,21,24,18,0.72,0.000566,False,True,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1242,0.5896,0.4479,0.9201,39,False,21,16,13,0.5909,0.000716,False,False,estrategia nacional del litio,salar de atacama,,0.6712
970,1244,0.4836,0.3356,0.829,57,False,21,14,11,0.5,0.00084,False,False,estrategia nacional del litio,,,0.6712
970,1909,0.7135,0.6479,0.8665,1002,True,21,23,8,0.2353,0.00212,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos;estrategia nacional del litio,0.9724
970,1910,0.6491,0.5694,0.8349,1002,True,21,23,8,0.2353,0.00212,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1911,0.6559,0.5694,0.8576,1002,True,21,23,8,0.2353,0.00212,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1913,0.6493,0.5694,0.8357,1002,True,21,23,8,0.2353,0.00212,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1915,0.618,0.5356,0.8103,1002,True,21,16,1,0.0294,0.002703,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos;estrategia nacional del litio,0.9724
